order_id,category,price,discount_pct,payment_method,customer_order_count,customer_return_rate_hist,days_since_signup,delivery_days,is_weekend_order,size_variant,coupon_used,review_rating_at_purchase,returned
ORD100079,apparel,1745.07,27.6,COD,1,,163,2,1,1,1,4.2,0
ORD100080,electronics,416.56,16.1,UPI,7,0.16666666666666666,630,2,1,0,0,4.4,0
ORD100081,electronics,513.26,25.4,COD,4,0.3333333333333333,203,4,0,0,1,4.2,0
ORD100082,home,604.88,18.6,COD,1,,925,4,1,0,1,3.6,0
ORD100083,apparel,258.8,39.5,COD,1,,189,4,0,1,1,3.9,1
ORD100084,apparel,244.11,5.9,COD,4,0.0,498,3,0,1,0,3.9,0
ORD100085,apparel,430.87,26.5,prepaid_card,9,0.125,186,1,0,1,1,4.1,1
ORD100086,footwear,2274.18,10.6,COD,1,,81,6,0,1,0,4.8,0
ORD100087,apparel,763.72,17.8,UPI,1,,46,2,0,1,0,4.8,0
ORD100088,home,1336.07,76.8,COD,6,0.2,105,7,0,0,0,4.3,1
ORD100089,electronics,703.41,37.0,COD,3,0.0,399,2,1,0,1,4.1,0
ORD100090,grocery,1532.3,28.4,COD,4,0.6666666666666666,237,1,0,0,1,4.8,0
ORD100091,grocery,467.66,21.5,prepaid_card,2,0.0,177,4,0,0,0,4.6,0
ORD100092,home,359.93,4.2,wallet,6,0.4,473,5,0,0,1,4.3,0
ORD100093,home,270.15,67.9,prepaid_card,5,0.25,118,7,1,0,1,3.5,0
ORD100094,beauty,248.86,31.8,prepaid_card,3,0.0,298,2,0,0,0,4.7,0
ORD100095,apparel,188.78,15.9,COD,4,0.3333333333333333,225,5,1,0,0,4.2,1
ORD100096,electronics,740.34,39.3,COD,7,0.16666666666666666,151,4,0,0,0,3.7,0
ORD100097,grocery,752.76,10.7,prepaid_card,3,0.0,69,2,0,0,0,4.2,0
ORD100098,apparel,278.67,11.3,wallet,4,0.6666666666666666,551,1,0,1,0,4.6,0
ORD100099,accessories,696.49,34.8,prepaid_card,4,0.0,18,6,1,0,0,4.0,0
ORD100100,footwear,722.5,40.8,wallet,7,0.3333333333333333,129,3,1,1,0,4.6,0
ORD100101,electronics,337.32,34.2,COD,3,0.5,412,3,0,0,0,4.8,0
ORD100102,accessories,370.48,47.0,prepaid_card,4,0.3333333333333333,3,2,0,0,0,3.5,0
ORD100103,beauty,435.91,30.8,COD,7,0.3333333333333333,96,4,0,0,1,4.9,0
ORD100104,apparel,624.33,14.9,prepaid_card,3,1.0,7,3,0,1,0,3.4,1
ORD100105,footwear,782.05,40.2,COD,6,0.0,312,3,0,1,1,4.5,0
ORD100106,footwear,2121.95,44.2,prepaid_card,8,0.0,211,1,1,1,0,4.7,0
ORD100107,home,433.74,67.9,prepaid_card,9,0.25,111,5,0,0,1,3.7,0
ORD100108,electronics,249.16,7.7,COD,2,0.0,17,5,1,0,1,4.5,0
ORD100109,apparel,4197.11,31.1,wallet,9,0.375,242,5,1,1,0,4.2,0
ORD100110,apparel,754.58,37.0,prepaid_card,19,0.2777777777777778,13,1,1,0,1,3.8,0
ORD100111,electronics,1625.87,37.8,UPI,4,0.0,89,5,1,0,0,4.7,0
ORD100112,apparel,2085.14,22.2,UPI,3,0.0,160,2,0,1,0,4.3,0
ORD100113,apparel,1587.12,53.5,UPI,9,0.25,402,1,0,1,1,4.2,0
ORD100114,home,647.14,30.7,wallet,1,,389,4,0,0,0,3.6,0
ORD100115,footwear,608.06,46.5,prepaid_card,10,0.3333333333333333,72,1,0,1,0,4.7,0
ORD100116,apparel,467.2,14.2,prepaid_card,8,0.42857142857142855,250,5,0,1,1,4.4,1
ORD100117,beauty,618.94,56.4,COD,4,0.3333333333333333,171,3,1,0,1,4.8,0
ORD100118,apparel,497.67,22.8,COD,5,0.0,22,2,0,1,0,3.6,0
ORD100119,home,342.04,24.5,wallet,3,1.0,94,1,1,0,1,4.8,0
ORD100120,apparel,1406.44,23.4,prepaid_card,4,0.0,3,2,1,1,0,4.7,0
ORD100121,apparel,13790.87,26.5,UPI,4,0.3333333333333333,15,2,1,0,1,4.5,0
ORD100122,home,357.94,9.1,UPI,5,0.0,79,2,1,0,0,3.3,0
ORD100123,beauty,204.26,39.0,UPI,4,0.0,310,3,0,0,1,4.7,0
ORD100124,home,6211.1,40.6,prepaid_card,5,0.25,113,5,0,0,1,4.6,0
ORD100125,apparel,862.25,27.1,prepaid_card,6,0.4,50,4,0,1,1,2.5,0
ORD100126,beauty,1961.47,24.7,COD,10,0.1111111111111111,1393,5,1,0,0,3.8,0
ORD100127,electronics,1701.76,35.8,COD,3,0.5,590,5,1,0,0,4.2,0
ORD100128,electronics,1194.22,29.8,prepaid_card,1,,168,3,1,0,0,4.6,0
ORD100129,electronics,794.4,33.9,UPI,3,0.0,57,2,1,0,0,4.1,0
ORD100130,beauty,515.34,9.4,COD,7,0.16666666666666666,144,1,0,0,0,4.5,0
ORD100131,electronics,103.73,14.2,UPI,4,0.6666666666666666,646,4,0,0,0,4.1,0
ORD100132,electronics,2271.95,18.5,prepaid_card,11,0.1,104,6,1,0,0,4.7,1
ORD100133,electronics,1345.06,39.6,COD,3,0.0,397,6,0,0,1,3.9,0
ORD100134,electronics,1225.06,1.9,UPI,9,0.125,7,3,0,0,0,4.9,0
ORD100135,electronics,3456.85,19.5,UPI,6,0.0,23,1,1,0,1,4.3,0
ORD100136,accessories,3169.05,20.8,wallet,9,0.0,287,1,0,0,0,4.0,0
ORD100137,apparel,1363.38,29.7,UPI,4,0.0,51,4,0,1,0,5.0,0
ORD100138,home,5076.3,17.4,UPI,7,0.3333333333333333,15,1,1,0,0,4.1,0
ORD100139,apparel,418.45,3.0,COD,12,0.36363636363636365,243,1,1,1,0,3.7,0
ORD100140,home,448.97,32.7,prepaid_card,7,0.16666666666666666,124,1,1,0,1,4.4,0
ORD100141,footwear,4786.34,16.3,COD,11,0.6,264,3,0,1,1,4.4,1
ORD100142,home,577.07,17.5,COD,2,1.0,117,3,0,0,1,4.5,0
ORD100143,footwear,1341.24,64.3,COD,12,0.09090909090909091,183,3,0,1,1,3.8,1
ORD100144,footwear,623.25,39.2,UPI,1,,176,3,0,1,0,3.5,1
ORD100145,grocery,478.48,31.9,UPI,3,0.0,194,3,0,0,0,2.5,0
ORD100146,apparel,995.63,36.0,COD,7,0.16666666666666666,131,1,0,1,0,3.6,1
ORD100147,accessories,579.38,36.2,COD,10,0.7777777777777778,491,3,0,0,1,3.4,1
ORD100148,electronics,197.42,23.2,wallet,5,0.0,149,4,0,0,1,4.3,1
ORD100149,apparel,249.36,26.7,COD,1,,4,1,0,1,1,3.5,0
ORD100150,footwear,413.33,10.3,prepaid_card,5,0.25,144,5,0,0,0,4.2,0
ORD100151,electronics,2923.26,37.1,UPI,5,0.5,426,2,0,0,0,4.9,0
ORD100152,electronics,297.63,16.5,COD,7,0.0,180,1,1,0,0,3.6,0
ORD100153,electronics,333.51,26.3,UPI,2,1.0,478,6,0,0,1,4.5,0
ORD100154,electronics,3007.06,41.0,COD,2,1.0,24,5,0,0,0,4.2,1
ORD100155,electronics,559.05,28.0,UPI,2,0.0,227,4,1,0,0,4.6,0
ORD100156,apparel,849.75,50.1,COD,3,0.0,295,3,0,1,0,4.1,0
ORD100157,apparel,293.46,4.2,COD,1,,71,5,0,1,1,3.9,1
ORD100158,home,2889.28,22.2,COD,2,1.0,211,5,1,0,1,3.9,0
ORD100159,home,309.04,44.1,UPI,8,0.0,124,4,0,0,1,3.8,0
ORD100160,apparel,1049.44,7.4,UPI,11,0.5,4,1,0,1,0,4.3,1
ORD100161,grocery,1813.85,51.3,UPI,8,0.14285714285714285,302,5,1,0,0,4.1,0
ORD100162,beauty,3711.19,17.0,COD,1,,309,2,0,0,0,4.5,1
ORD100163,electronics,1262.42,39.3,UPI,4,0.6666666666666666,710,5,0,0,0,5.0,0
ORD100164,grocery,417.05,45.2,COD,7,0.3333333333333333,570,3,1,0,0,3.7,0
ORD100165,electronics,427.58,4.2,COD,2,0.0,477,4,0,0,1,2.7,0
ORD100166,beauty,963.45,30.6,COD,3,0.5,25,1,0,0,0,5.0,0
ORD100167,footwear,774.01,21.4,prepaid_card,2,0.0,92,4,0,1,0,4.6,0
ORD100168,grocery,946.21,38.0,COD,5,0.5,617,1,0,0,1,4.4,0
ORD100169,electronics,501.03,22.3,COD,3,0.0,192,7,0,0,1,3.8,0
ORD100170,apparel,2774.81,31.7,COD,14,0.07692307692307693,9,5,0,1,1,2.8,0
ORD100171,footwear,226.39,21.3,UPI,1,,328,4,0,1,1,3.7,1
ORD100172,accessories,485.44,57.3,COD,14,0.15384615384615385,32,1,0,0,0,4.2,0
ORD100173,accessories,179.89,24.4,prepaid_card,2,1.0,168,3,1,0,0,4.6,0
ORD100174,footwear,716.89,44.9,COD,4,0.6666666666666666,43,4,0,1,0,4.1,0
ORD100175,accessories,293.22,49.8,prepaid_card,8,0.0,15,4,0,0,0,4.3,0
ORD100176,beauty,270.96,30.1,prepaid_card,5,0.25,147,5,0,0,0,4.3,0
ORD100177,home,695.16,26.5,prepaid_card,12,0.18181818181818182,255,5,1,0,0,3.0,0
ORD100178,apparel,909.81,16.6,COD,14,0.0,121,5,0,0,0,4.9,0
ORD100179,footwear,51.38,18.8,wallet,6,0.2,68,6,0,1,0,4.0,0
ORD100180,apparel,1956.91,31.3,COD,8,0.0,3,1,1,0,0,4.2,0
ORD100181,footwear,920.44,23.9,UPI,3,0.5,110,4,0,1,1,3.1,0
ORD100182,electronics,159.25,50.8,COD,2,1.0,30,7,0,0,0,5.0,0
ORD100183,footwear,1359.68,14.9,UPI,9,0.375,134,4,0,1,0,4.3,0
ORD100184,electronics,419.08,12.0,UPI,4,0.0,144,6,0,0,0,3.7,0
ORD100185,home,100.5,15.1,COD,3,0.0,67,5,1,0,0,4.1,0
ORD100186,accessories,114.21,39.0,UPI,3,0.0,4,1,0,0,0,3.4,0
ORD100187,electronics,1186.07,40.4,COD,5,0.25,432,5,0,0,0,3.8,0
ORD100188,home,798.65,48.3,COD,3,1.0,11,3,0,0,0,3.3,1
ORD100189,accessories,918.65,41.3,COD,5,0.25,366,6,1,0,0,4.6,0
ORD100190,electronics,107.56,42.5,UPI,2,1.0,116,4,0,0,1,4.7,0
ORD100191,home,771.38,43.2,COD,2,0.0,220,2,1,0,0,4.7,1
ORD100192,electronics,272.4,29.0,COD,3,0.5,2,3,1,0,0,3.4,1
ORD100193,grocery,445.58,13.1,COD,2,1.0,148,4,0,0,0,3.0,0
ORD100194,apparel,242.42,8.2,COD,5,0.0,68,4,0,1,0,4.8,0
ORD100195,grocery,504.04,40.5,COD,2,0.0,195,8,0,0,0,3.3,1
ORD100196,footwear,1950.24,70.9,prepaid_card,3,0.0,192,5,1,1,0,4.0,0
ORD100197,footwear,160.35,25.9,UPI,11,0.3,1507,2,0,1,0,4.1,0
ORD100198,beauty,277.1,21.8,COD,3,0.0,525,3,0,0,1,4.0,0
ORD100199,home,341.74,17.2,COD,2,0.0,463,5,0,0,1,4.1,1
ORD100200,apparel,856.06,30.6,UPI,1,,320,5,0,1,0,4.6,1
ORD100201,beauty,2575.59,28.6,prepaid_card,7,0.16666666666666666,294,5,0,0,1,5.0,0
ORD100202,home,603.62,33.1,prepaid_card,4,1.0,78,5,0,0,1,4.8,1
ORD100203,home,105.02,32.6,COD,7,0.16666666666666666,274,2,1,0,0,4.3,0
ORD100204,grocery,2189.77,47.4,UPI,7,0.0,118,4,0,0,0,3.6,0
ORD100205,apparel,991.26,21.9,COD,7,0.0,391,3,0,1,0,3.8,1
ORD100206,electronics,4553.39,10.9,UPI,2,0.0,575,6,1,0,0,4.7,0
ORD100207,electronics,972.0,64.8,COD,4,0.6666666666666666,505,1,0,0,0,4.5,0
ORD100208,footwear,2112.76,11.3,prepaid_card,9,0.125,73,6,0,1,1,3.4,0
ORD100209,apparel,368.98,21.3,UPI,13,0.0,87,3,0,1,0,5.0,1
ORD100210,accessories,412.29,30.9,prepaid_card,9,0.0,404,5,0,0,1,4.5,0
ORD100211,electronics,71.85,11.3,COD,4,0.0,165,6,0,0,0,4.5,0
ORD100212,beauty,566.58,7.7,COD,5,0.25,59,1,0,0,0,5.0,0
ORD100213,home,1364.61,30.0,UPI,7,0.16666666666666666,11,5,0,0,0,4.5,0
ORD100214,home,413.85,12.5,wallet,2,1.0,110,4,1,0,1,4.0,0
ORD100215,apparel,3604.08,42.4,UPI,4,0.0,316,4,1,1,1,4.5,1
ORD100216,apparel,994.57,63.6,UPI,4,1.0,188,1,1,1,0,4.3,0
ORD100217,beauty,384.46,26.7,prepaid_card,10,0.2222222222222222,188,4,0,0,1,5.0,0
ORD100218,accessories,117.46,42.7,COD,5,0.0,123,2,1,0,0,4.4,0
ORD100219,apparel,29.02,51.2,COD,4,0.3333333333333333,115,1,0,1,1,4.1,1
ORD100220,apparel,1288.55,3.9,COD,6,0.2,104,3,0,1,0,4.4,0
ORD100221,apparel,759.39,20.0,prepaid_card,6,0.2,7,7,0,1,1,4.9,0
ORD100222,apparel,2048.64,5.6,COD,6,0.2,107,5,0,1,0,3.9,1
ORD100223,home,176.04,52.9,prepaid_card,12,0.6363636363636364,314,2,0,0,1,3.8,0
ORD100224,electronics,2804.77,24.7,COD,12,0.18181818181818182,292,4,0,0,0,5.0,0
ORD100225,apparel,2019.41,12.1,wallet,5,0.0,6,6,0,0,1,5.0,0
ORD100226,apparel,479.2,13.4,prepaid_card,3,0.5,132,4,1,1,1,5.0,0
ORD100227,footwear,599.87,38.1,UPI,2,0.0,88,5,0,1,1,4.6,0
ORD100228,home,68.5,44.2,prepaid_card,7,0.3333333333333333,215,4,0,0,0,4.1,1
ORD100229,apparel,378.23,24.5,COD,3,0.5,299,3,0,1,1,5.0,0
ORD100230,home,630.59,52.0,COD,3,0.0,656,3,0,0,0,3.3,0
ORD100231,electronics,727.06,41.8,COD,10,0.0,46,2,1,0,0,5.0,0
ORD100232,home,1267.14,20.3,COD,4,0.0,124,1,0,0,1,4.1,0
ORD100233,footwear,5176.13,23.3,COD,4,0.0,50,5,0,1,0,3.9,0
ORD100234,footwear,904.53,13.5,COD,3,0.0,48,6,0,1,1,3.2,0
ORD100235,beauty,1002.25,21.8,UPI,14,0.3076923076923077,80,1,1,0,0,4.7,0
ORD100236,electronics,412.64,43.1,COD,14,0.0,121,4,0,0,0,4.1,0
ORD100237,apparel,1825.64,7.8,COD,8,0.14285714285714285,212,3,0,1,0,4.7,0
ORD100238,accessories,355.85,42.4,COD,8,0.2857142857142857,23,3,0,0,0,4.0,0
ORD100239,beauty,391.24,49.4,UPI,8,0.14285714285714285,250,4,0,0,1,4.1,0
ORD100240,electronics,614.49,48.4,prepaid_card,8,0.2857142857142857,313,2,0,0,1,3.8,0
ORD100241,beauty,743.94,26.8,COD,5,0.0,217,3,0,0,0,4.7,0
ORD100242,footwear,402.22,31.8,UPI,2,0.0,207,4,0,1,0,3.6,0
ORD100243,beauty,525.88,32.3,UPI,4,0.0,57,3,0,0,0,3.5,0
ORD100244,apparel,423.93,26.9,wallet,5,0.75,161,1,1,0,1,3.9,1
ORD100245,grocery,1368.76,42.5,UPI,13,0.16666666666666666,67,6,0,0,0,4.8,0
ORD100246,electronics,543.07,47.0,COD,2,1.0,37,3,0,0,1,4.3,1
ORD100247,apparel,342.29,32.0,COD,6,0.6,61,2,0,1,1,4.0,1
ORD100248,home,3728.99,37.2,prepaid_card,4,0.0,119,6,0,0,1,4.2,0
ORD100249,apparel,348.02,40.1,UPI,1,,17,6,1,0,0,4.7,0
ORD100250,apparel,497.47,12.7,COD,1,,451,3,0,1,0,2.4,0
ORD100251,electronics,513.72,23.9,COD,7,0.0,212,1,1,0,1,4.5,0
ORD100252,electronics,94.72,17.0,UPI,8,0.2857142857142857,63,5,0,0,0,3.3,0
ORD100253,electronics,354.8,14.6,prepaid_card,8,0.14285714285714285,313,3,0,0,0,4.0,0
ORD100254,grocery,1341.53,41.2,COD,3,0.0,56,3,1,0,0,3.0,0
ORD100255,home,603.35,19.1,prepaid_card,5,0.75,159,1,0,0,1,3.1,0
ORD100256,apparel,4107.76,35.5,prepaid_card,1,,73,7,1,1,1,3.9,1
ORD100257,apparel,443.7,40.3,prepaid_card,4,0.0,134,1,0,1,0,3.3,0
ORD100258,beauty,1822.66,30.6,prepaid_card,12,0.45454545454545453,193,3,0,0,0,3.9,0
ORD100259,footwear,3898.8,3.9,UPI,5,0.0,102,2,0,1,0,3.9,0
ORD100260,electronics,402.87,50.1,COD,1,,238,5,1,0,0,3.8,0
ORD100261,apparel,695.19,17.6,prepaid_card,6,0.2,17,4,0,1,0,4.0,1
ORD100262,grocery,626.61,24.0,wallet,7,0.0,44,7,0,0,0,4.4,0
ORD100263,footwear,157.2,31.4,COD,2,0.0,173,3,1,1,1,4.1,0
ORD100264,grocery,167.06,51.1,prepaid_card,3,0.0,111,4,0,0,1,3.7,0
ORD100265,home,286.44,25.7,COD,2,0.0,663,5,1,0,0,5.0,0
ORD100266,beauty,548.66,50.5,COD,7,0.16666666666666666,577,3,1,0,0,4.0,0
ORD100267,beauty,2819.58,6.6,UPI,8,0.2857142857142857,521,2,0,0,1,4.3,0
ORD100268,electronics,1963.38,21.2,wallet,3,0.0,46,3,0,0,1,3.7,0
ORD100269,grocery,731.07,34.4,COD,4,0.3333333333333333,477,5,1,0,0,3.3,0
ORD100270,apparel,5005.36,16.4,COD,8,0.14285714285714285,70,4,0,0,0,4.3,0
ORD100271,electronics,698.4,37.9,prepaid_card,5,0.25,101,5,0,0,1,4.8,0
ORD100272,electronics,972.38,38.9,COD,5,0.5,252,3,1,0,0,4.2,0
ORD100273,accessories,1114.78,27.5,COD,5,0.0,649,7,0,0,0,4.4,0
ORD100274,apparel,761.08,50.5,prepaid_card,3,0.0,174,3,1,1,1,5.0,0
ORD100275,electronics,1235.36,24.5,UPI,3,0.5,157,6,0,0,1,3.5,0
ORD100276,footwear,1138.57,36.1,UPI,1,,105,1,0,1,1,4.5,0
ORD100277,electronics,302.74,23.5,COD,3,0.0,21,2,1,0,0,3.4,0
ORD100278,apparel,1646.58,22.8,COD,3,0.0,4,4,0,1,0,4.5,1
ORD100279,electronics,1302.65,12.6,COD,2,0.0,335,7,1,0,0,5.0,0
ORD100280,electronics,282.21,32.9,UPI,3,1.0,415,2,0,0,0,5.0,0
ORD100281,apparel,654.73,15.6,UPI,4,0.3333333333333333,164,7,1,1,0,3.5,1
ORD100282,footwear,1296.04,19.3,COD,5,0.75,311,2,0,1,1,4.1,0
ORD100283,footwear,2563.99,30.3,UPI,3,0.5,190,3,0,1,0,4.0,0
ORD100284,apparel,974.54,29.1,UPI,3,0.0,854,4,1,1,0,4.7,0
ORD100285,electronics,313.46,20.4,COD,8,0.2857142857142857,67,6,0,0,0,4.4,0
ORD100286,beauty,821.48,45.1,wallet,6,0.4,35,4,1,0,1,4.2,0
ORD100287,apparel,353.4,13.7,COD,1,,286,4,0,1,1,3.3,0
ORD100288,grocery,224.71,46.4,prepaid_card,5,0.0,539,4,0,0,0,4.0,0
ORD100289,apparel,147.98,38.7,COD,6,0.0,246,3,0,1,1,5.0,0
ORD100290,beauty,1065.36,29.2,UPI,7,0.0,3,1,0,0,0,4.4,0
ORD100291,home,650.39,35.4,COD,3,0.0,75,3,1,0,0,3.5,0
ORD100292,electronics,151.08,45.7,prepaid_card,3,0.0,391,3,0,0,0,3.9,0
ORD100293,beauty,668.14,32.9,wallet,2,0.0,193,5,0,0,0,4.4,0
ORD100294,footwear,578.17,9.8,COD,5,0.25,36,2,1,1,0,4.8,1
ORD100295,apparel,184.46,26.9,COD,4,0.0,91,5,1,1,1,4.8,0
ORD100296,electronics,531.67,1.8,prepaid_card,2,0.0,38,6,0,0,0,3.3,0
ORD100297,accessories,482.36,35.4,prepaid_card,5,0.0,97,4,0,0,1,4.6,0
ORD100298,home,334.06,29.3,COD,7,0.16666666666666666,67,2,1,0,0,4.0,0
ORD100299,apparel,623.47,33.6,UPI,4,0.3333333333333333,148,2,0,1,0,5.0,1
ORD100300,footwear,574.72,6.2,UPI,11,0.2,102,3,0,1,1,5.0,0
ORD100301,grocery,202.92,8.4,COD,1,,382,5,0,0,1,5.0,0
ORD100302,home,790.37,18.8,prepaid_card,4,0.0,184,3,0,0,0,4.4,0
ORD100303,grocery,1558.81,40.3,COD,2,0.0,51,5,1,0,0,3.8,0
ORD100304,electronics,316.42,55.8,UPI,9,0.625,205,2,0,0,1,3.8,0
